seed,A_Pearson,A_Spearman,A_Kendall_approx,A_C_index_approx,A_relRMSE,D_Pearson,D_Spearman,D_Kendall_approx,D_C_index_approx,D_relRMSE,Δ_Pearson,Δ_Spearman,Δ_Kendall_approx,Δ_C_index_approx,Δ_relRMSE
"(12, 12, 12)",0.999733,0.999431,0.983762,0.992034,0.008854,0.999822,0.999652,0.987377,0.993352,0.007229,8.9e-05,0.00022,0.003615,0.001317,-0.001625
"(12, 8, 8)",0.999671,0.999592,0.984498,0.992402,0.01215,0.999767,0.999621,0.986949,0.99329,0.008896,9.6e-05,2.9e-05,0.002451,0.000888,-0.003254
"(8, 12, 8)",0.999719,0.999648,0.987377,0.992831,0.009697,0.999761,0.999604,0.988113,0.992555,0.008013,4.2e-05,-4.4e-05,0.000735,-0.000276,-0.001684
"(8, 8, 12)",0.999709,0.99947,0.984743,0.992586,0.011421,0.999789,0.999549,0.986152,0.993413,0.007373,8e-05,7.9e-05,0.001409,0.000827,-0.004048
