seed,A_Pearson,A_Spearman,A_Kendall_approx,A_C_index_approx,A_relRMSE,D_Pearson,D_Spearman,D_Kendall_approx,D_C_index_approx,D_relRMSE,Δ_Pearson,Δ_Spearman,Δ_Kendall_approx,Δ_C_index_approx,Δ_relRMSE
"(12, 12, 12)",0.999707,0.999373,0.98364,0.990165,0.00916,0.999809,0.999635,0.989032,0.994179,0.007784,0.000102,0.000262,0.005392,0.004013,-0.001376
"(12, 8, 8)",0.999645,0.999557,0.984559,0.99277,0.012552,0.999752,0.999624,0.987255,0.993964,0.009321,0.000107,6.8e-05,0.002696,0.001195,-0.003231
"(8, 12, 8)",0.999701,0.999598,0.986336,0.992616,0.010089,0.999751,0.999564,0.984314,0.993444,0.008251,4.9e-05,-3.4e-05,-0.002022,0.000827,-0.001838
"(8, 8, 12)",0.999688,0.999464,0.98462,0.992034,0.011861,0.999776,0.999549,0.986029,0.993015,0.007647,8.8e-05,8.5e-05,0.001409,0.00098,-0.004213
